06:47:30 [INFO] pixel (0, 1)  terminal (0, 0)
06:47:31 [INFO] pixel (1, 1)  terminal (1, 0)
06:47:31 [INFO] pixel (1, 2)  terminal (1, 1)
06:47:31 [INFO] pixel (2, 2)  terminal (2, 1)
06:47:31 [INFO] pixel (2, 3)  terminal (2, 1)
06:47:31 [INFO] pixel (2, 4)  terminal (2, 2)
06:47:31 [INFO] pixel (3, 4)  terminal (3, 2)
06:47:31 [INFO] pixel (4, 4)  terminal (4, 2)
06:47:31 [INFO] pixel (4, 5)  terminal (4, 2)
06:47:31 [INFO] pixel (5, 5)  terminal (5, 2)
06:47:31 [INFO] pixel (5, 6)  terminal (5, 3)
06:47:32 [INFO] pixel (6, 6)  terminal (6, 3)
06:47:32 [INFO] pixel (6, 7)  terminal (6, 3)
06:47:32 [INFO] pixel (6, 7)  terminal (6, 3)
06:47:32 [INFO] pixel (6, 7)  terminal (6, 3)
06:47:32 [INFO] pixel (6, 7)  terminal (6, 3)
06:47:32 [INFO] pixel (6, 7)  terminal (6, 3)
06:47:33 [INFO] pixel (6, 7)  terminal (6, 3)
06:47:33 [INFO] pixel (6, 7)  terminal (6, 3)
06:47:33 [INFO] pixel (6, 7)  terminal (6, 3)
06:47:33 [INFO] pixel (6, 7)  terminal (6, 3)
06:47:33 [INFO] pixel (6, 7)  terminal (6, 3)
06:47:34 [INFO] pixel (6, 7)  terminal (6, 3)
06:47:34 [INFO] pixel (6, 7)  terminal (6, 3)
06:47:34 [INFO] pixel (6, 7)  terminal (6, 3)
06:47:34 [INFO] pixel (6, 8)  terminal (6, 4)
06:47:34 [INFO] pixel (5, 8)  terminal (5, 4)
06:47:35 [INFO] pixel (6, 8)  terminal (6, 4)
06:47:35 [INFO] pixel (7, 8)  terminal (7, 4)
06:47:35 [INFO] pixel (8, 8)  terminal (8, 4)
06:47:35 [INFO] pixel (9, 8)  terminal (9, 4)
06:47:36 [INFO] pixel (10, 8)  terminal (10, 4)
06:47:36 [INFO] pixel (11, 8)  terminal (11, 4)
06:47:36 [INFO] pixel (12, 8)  terminal (12, 4)
06:47:36 [INFO] pixel (13, 8)  terminal (13, 4)
06:47:36 [INFO] pixel (14, 8)  terminal (14, 4)
06:47:36 [INFO] pixel (15, 8)  terminal (15, 4)
06:47:36 [INFO] pixel (16, 8)  terminal (16, 4)
06:47:36 [INFO] pixel (17, 8)  terminal (17, 4)
06:47:36 [INFO] pixel (18, 8)  terminal (18, 4)
06:47:36 [INFO] pixel (18, 9)  terminal (18, 4)
06:47:36 [INFO] pixel (18, 8)  terminal (18, 4)
